[2026-08-31 09:05:52,790] 18 root - INFO - Initiate the data ingestion process
[2026-08-31 09:05:53,967] 77 root - INFO - Performed train test split on the dataframe
[2026-08-31 09:05:53,967] 83 root - INFO - Exporting train and test files...
[2026-08-31 09:05:54,037] 90 root - INFO - Exported train and test files successfully.
[2026-08-31 09:05:54,037] 20 root - INFO - Data ingestion process completed
[2026-08-31 09:05:54,055] 28 root - INFO - Initiate the data validation process
[2026-08-31 09:05:54,074] 31 root - INFO - Required number of columns: 31
[2026-08-31 09:05:54,074] 32 root - INFO - Dataframe has columns: 31
[2026-08-31 09:05:54,074] 31 root - INFO - Required number of columns: 31
[2026-08-31 09:05:54,074] 32 root - INFO - Dataframe has columns: 31
[2026-08-31 09:05:54,074] 57 root - INFO - All required numerical columns are present in the dataframe.
[2026-08-31 09:05:54,074] 57 root - INFO - All required numerical columns are present in the dataframe.
[2026-08-31 09:05:54,274] 30 root - INFO - Data validation Completed
[2026-08-31 09:05:54,274] 37 root - INFO - data validation Started
[2026-08-31 09:05:54,274] 55 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-08-31 09:05:54,274] 57 root - INFO - Starting data Transformation
[2026-08-31 09:05:54,296] 42 root - INFO - Entered get_data_transformer_object method of Transformation class
[2026-08-31 09:05:54,296] 46 root - INFO - Initialise KNN with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-08-31 09:05:54,306] 55 root - INFO - Extend the save_object method of MainUtils class
[2026-08-31 09:05:54,309] 59 root - INFO - Exited the save_object method of MainUtils class
[2026-08-31 09:05:54,309] 43 root - INFO - data Transformation completed
[2026-08-31 09:05:54,309] 46 root - INFO - Model Training started
[2026-08-31 09:08:55,553] 55 root - INFO - Extend the save_object method of MainUtils class
[2026-08-31 09:08:55,557] 59 root - INFO - Exited the save_object method of MainUtils class
[2026-08-31 09:08:55,557] 55 root - INFO - Extend the save_object method of MainUtils class
[2026-08-31 09:08:55,567] 59 root - INFO - Exited the save_object method of MainUtils class
[2026-08-31 09:08:55,567] 118 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/08_31_2026_09_05_52/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricsArtifact(f1_score=0.9912849614916903, precision_score=0.9882804606991311, recall_score=0.9943077861353934), test_metric_artifact=ClassificationMetricsArtifact(f1_score=0.9764094362255098, precision_score=0.9667458432304038, recall_score=0.9862681744749596))
